Part number,Description,No Datasheet Available
7479,dual D flip-flop,Datasheets_7400/74AUP1G79.pdf
7480,gated full adder,Datasheets_7400/74AUP1G80.pdf
7481,16-bit RAM,No Datasheet Available
7482,2-bit binary full adder,No Datasheet Available
7483,4-bit binary half adder (no carry in function),No Datasheet Available
7484,16-bit RAM,No Datasheet Available
7485,4-bit magnitude comparator,No Datasheet Available
7486,quad 2-input XOR gate,Datasheets_7400/74AUP1G86.pdf
7487,4-bit true/complement/zero/one element,No Datasheet Available
7488,256-bit ROM,No Datasheet Available
7489,64-bit RAM,No Datasheet Available
7490,decade counter (separate divide-by-2 and divide-by-5 sections),No Datasheet Available
7491,"8-bit shift register, serial In, serial out, gated input",No Datasheet Available
7492,divide-by-12 counter (separate divide-by-2 and divide-by-6 sections),No Datasheet Available
7493,4-bit binary counter (separate divide-by-2 and divide-by-8 sections),No Datasheet Available
7494,"4-bit shift register, dual asynchronous presets",No Datasheet Available
7495,"4-bit shift register, parallel in, parallel out, serial input",No Datasheet Available
7496,"5-bit parallel-in/parallel-out shift register, asynchronous preset",No Datasheet Available
7497,synchronous 6-bit binary rate multiplier,Datasheets_7400/74AUP1G97.pdf
7498,4-bit data selector/storage register,Datasheets_7400/74AUP1G98.pdf
7499,4-bit bidirectional universal shift register,Datasheets_7400/74LVC1G99.pdf
74100,dual 4-bit bistable latch,No Datasheet Available
74101,"AND-OR-gated J-K negative-edge-triggered flip-flop, preset",No Datasheet Available
74102,"AND-gated J-K negative-edge-triggered flip-flop, preset and clear",No Datasheet Available
74103,"dual J-K negative-edge-triggered flip-flop, clear",No Datasheet Available
74104,J-K master-slave flip-flop,No Datasheet Available
74105,J-K master-slave flip-flop,No Datasheet Available
74106,"dual J-K negative-edge-triggered flip-flop, preset and clear",No Datasheet Available
74107,"dual J-K flip-flop, clear",Datasheets_7400/74HC_HCT107.pdf
74107a,"dual J-K negative-edge-triggered flip-flop, clear",No Datasheet Available
74108,"dual J-K negative-edge-triggered flip-flop, preset, common clear and common clock",No Datasheet Available
74109,"dual J-Not-K positive-edge-triggered flip-flop, clear and preset",Datasheets_7400/74HC_HCT109.pdf
74110,"AND-gated J-K master-slave flip-flop, data lockout",No Datasheet Available
74111,"dual J-K master-slave flip-flop, data lockout",No Datasheet Available
74112,"dual J-K negative-edge-triggered flip-flop, clear and preset",Datasheets_7400/74HC_HCT112.pdf
74113,"dual J-K negative-edge-triggered flip-flop, preset",No Datasheet Available
74114,"dual J-K negative-edge-triggered flip-flop, preset, common clock and clear",No Datasheet Available
74116,"dual 4-bit latch, clear",No Datasheet Available
74118,hex set/reset latch,No Datasheet Available
74119,hex set/reset latch,No Datasheet Available
74120,dual pulse synchronizer/drivers,No Datasheet Available
74121,monostable multivibrator,No Datasheet Available
74122,"retriggerable monostable multivibrator, clear",No Datasheet Available
74123,"dual retriggerable monostable multivibrator, clear",Datasheets_7400/74HC_HCT123.pdf
74124,dual voltage-controlled oscillator,No Datasheet Available
74125,"quad bus buffer, three-state outputs, negative enable",Datasheets_7400/74AUP1G125.pdf
74126,"quad bus buffer, three-state outputs, positive enable",Datasheets_7400/74AUP1G126.pdf
74128,quad 2-input NOR line driver,No Datasheet Available
74130,retriggerable monostable multivibrator,No Datasheet Available
74131,"quad 2-input AND gate buffer, 15 V open collector outputs[citation needed]",No Datasheet Available
74132,quad 2-input NAND Schmitt trigger,Datasheets_7400/74HC_HCT132.pdf
74133,13-input NAND gate,No Datasheet Available
74134,"12-input NAND gate, three-state output",No Datasheet Available
